   0%|          | 0/3 [00:00<?, ?it/s] Average Metric: 0.00 / 1 (0.0%):   0%|          | 0/3 [00:36<?, ?it/s] Average Metric: 0.00 / 1 (0.0%):  33%|███▎      | 1/3 [00:36<01:12, 36.18s/it] Average Metric: 0.25 / 2 (12.5%):  33%|███▎      | 1/3 [00:36<01:12, 36.18s/it] Average Metric: 0.25 / 2 (12.5%):  67%|██████▋   | 2/3 [00:36<00:15, 15.35s/it] Average Metric: 1.00 / 3 (33.3%):  67%|██████▋   | 2/3 [00:37<00:15, 15.35s/it] Average Metric: 1.00 / 3 (33.3%): 100%|██████████| 3/3 [00:37<00:00,  8.51s/it] Average Metric: 1.00 / 3 (33.3%): 100%|██████████| 3/3 [00:37<00:00, 12.44s/it]
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
turn_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='python\n# Task Instruction\n\n## Task Description\nThe task is to determine the best action for a given poker hand based on the player\'s personality, hole cards, board cards, and current street.\n\n## Input Format\nThe input will be a dictionary with the following keys:\n- `personality`: a string describing the player\'s personality (e.g., \'tight\', \'aggressive\', etc.)\n- `hole_cards`: a tuple of two cards representing the player\'s hole cards (e.g., \'(7s, 5s)\')\n- `board`: a tuple of five cards representing the community board (e.g., \'(Ks, Jh, 3h, 6c)\')\n- `street`: a string indicating the current street (e.g., \'Turn\', \'Flop\', etc.)\n\n## Task Requirements\nThe assistant should analyze the input data and provide a recommendation for the best action to take, including a brief explanation of the reasoning behind the decision.\n\n## Domain-Specific Factual Information\n- In poker, a "tight" player is someone who only plays strong hands, while an "aggressive" player is someone who likes to take risks and play more hands.\n- A "straight draw" is a hand that has a chance to become a straight (five cards in sequential order) with the next card.\n- A "flush draw" is a hand that has a chance to become a flush (five cards of the same suit) with the next card.\n- The "board" refers to the community cards that are shared by all players.\n- The "street" refers to the current stage of the hand, with the "Flop" being the first three community cards, the "Turn" being the fourth community card, and the "River" being the fifth and final community card.\n\n## Generalizable Strategies\n- A tight player should be cautious and only play strong hands.\n- An aggressive player should be willing to take risks and play more hands.\n- A player with a possible draw should consider the odds of improving their hand and the potential risks of losing to a stronger hand.\n- A player with a strong hand should consider the potential risks of losing to a stronger hand and the potential rewards of winning.\n\n## Evaluation Criteria\nThe assistant\'s response will be evaluated based on the accuracy of the recommended action and the clarity of the explanation.\n\n## Example Inputs and Feedback\nThe following are examples of input data and feedback:\n```\n# Example 1\n## Inputs\n### personality\ntight\n\n### hole_cards\n(7s, 5s)\n\n### board\n(Ks, Jh, 3h, 6c)\n\n### street\nTurn\n\n## Feedback\nYou made the incorrect \'call\' action for this hand and board. The correct action is \'fold\'. Think about how you could have reasoned to make the correct decision with your hand and the board cards.\n\n# Example 2\n## Inputs\n### personality\naggressive\n\n### hole_cards\n(Kd, 5c)\n\n### board\n(Kc, 8d, 3d)\n\n### street\nFlop\n\n## Feedback\nYou made the incorrect \'call\' action for this hand and board. The correct action is \'all_in\'. Think about how you could have reasoned to make the correct decision with your hand and the board cards.\n\n# Example 3\n## Inputs\n### personality\ntight\n\n### hole_cards\n(9c, 6s)\n\n### board\n(5d, 6h, Js)\n\n### street\nFlop\n\n## Feedback\nYou made the incorrect \'call\' action for this hand and board. The correct action is \'fold\'. Think about how you could have reasoned to make the correct decision with your hand and the board cards.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
river_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task Instruction\n\n## Task Description\nThe task is to determine the best action for a given poker hand based on the provided inputs. The inputs include the player's personality, their hole cards, the community board, and the current street.\n\n## Input Format\nThe input format is as follows:\n- `personality`: A string representing the player's personality, which can be one of the following: 'tight', 'loose', 'aggressive', 'passive', or 'fifteen_percent' (a custom personality type).\n- `hole_cards`: A tuple of two strings representing the player's hole cards, each in the format 'rank-suit' (e.g., 'Ac' for Ace of clubs).\n- `board`: A tuple of five strings representing the community board, each in the format 'rank-suit' (e.g., '2c' for 2 of clubs).\n- `street`: A string representing the current street, which can be one of the following: 'Pre-Flop', 'Flop', 'Turn', or 'River'.\n\n## Task Requirements\nThe task requires the assistant to analyze the given inputs and determine the best action for the player. The action can be one of the following: 'call', 'raise', 'fold', or 'check'.\n\n## Domain-Specific Factual Information\n- A 'tight' personality type tends to fold weak hands and play strong hands aggressively.\n- A 'loose' personality type tends to play more hands and be more aggressive.\n- An 'aggressive' personality type tends to play strong hands aggressively and fold weak hands.\n- A 'passive' personality type tends to fold weak hands and play strong hands conservatively.\n- The 'fifteen_percent' personality type is a custom type that tends to be cautious and minimize losses.\n- A flush draw is a strong draw that can win the hand if made.\n- A straight draw is a strong draw that can win the hand if made.\n- A set is a strong hand that can win the hand if made.\n- A possible straight draw or flush draw on the board can make the player's hand vulnerable to being dominated.\n- A strong card on the board can make the player's hand vulnerable to being dominated.\n\n## Generalizable Strategy\nThe generalizable strategy for this task is to analyze the player's personality, their hole cards, and the community board to determine the best action. The assistant should consider the following factors:\n- The player's personality and how it affects their playing style.\n- The strength of the player's hole cards and how they relate to the community board.\n- The strength of the community board and any possible draws or strong hands that can be made.\n- The current street and how it affects the player's decision-making.\n\n## Evaluation Criteria\nThe assistant's response will be evaluated based on the following criteria:\n- Accuracy: Does the assistant's response accurately reflect the best action for the given inputs?\n- Reasoning: Does the assistant's response provide clear and logical reasoning for their decision?\n- Domain knowledge: Does the assistant demonstrate a good understanding of poker concepts and terminology?"
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
)), preflop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task Description:\n# The task is to determine the best action for a given poker hand, considering the player's personality and the current state of the game.\n# The player's personality is classified as 'tight' or 'aggressive', with 'tight' players preferring to minimize their expected loss and 'aggressive' players aiming to maximize their expected gain.\n# The game state includes the player's hole cards, the community board, and the current street (preflop, flop, turn, or river).\n# The objective is to provide a reasoning for the recommended action and the action itself.\n\n# Input Format:\n# The input will be a dictionary containing the following keys:\n# - 'personality': a string indicating the player's personality ('tight' or 'aggressive')\n# - 'hole_cards': a list of two strings representing the player's hole cards in the format '(rank,suit)'\n# - 'board': a list of strings representing the community board in the format '(rank,suit)'\n# - 'street': a string indicating the current street ('preflop', 'flop', 'turn', or 'river')\n\n# Task Requirements:\n# 1. The assistant should consider the player's personality when determining the best action.\n# 2. The assistant should analyze the player's hole cards and the community board to identify potential hand strengths and weaknesses.\n# 3. The assistant should take into account the current street to determine the optimal action.\n# 4. The assistant should provide a clear and concise reasoning for the recommended action.\n# 5. The assistant should return the recommended action as a string.\n\n# Domain-Specific Factual Information:\n# - In preflop, players typically check or call to see the flop.\n# - In the flop, players often check or bet to build the pot or protect their hand.\n# - In the turn and river, players typically check or bet to maximize their expected gain or minimize their expected loss.\n# - Aggressive players tend to bet or raise more frequently than tight players.\n# - Tight players tend to check or call more frequently than aggressive players.\n# - A 'tight' player should check preflop with weak hands like 4c 3s or (Qh, 7d) to minimize their expected loss.\n# - An 'aggressive' player should raise preflop with strong hands like (9s, Kh) to build the pot and put pressure on their opponent.\n# - A player should be cautious and not overcommit their chips, especially with weak hands and an empty board.\n# - A player should reassess their hand and the board after seeing the flop to determine the best course of action.\n\n# Generalizable Strategy:\n# The assistant can use a decision tree or a rule-based system to determine the best action based on the player's personality, hole cards, board, and street.\n# The assistant can also use machine learning algorithms to learn from a dataset of poker hands and improve its decision-making over time.\n\n# Example Inputs and Outputs:\n# Input:\n# {\n#     'personality': 'aggressive',\n#     'hole_cards': ['Kh', 'As'],\n#     'board': [],\n#     'street': 'preflop'\n# }\n# Output:\n# {\n#     'reasoning': 'As an aggressive player, I need to be proactive and take control of the pot. Since it's preflop and the board is empty, I should raise to build the pot and put pressure on my opponent.',\n#     'action': 'raise'\n# }\n```\n\n```python\n# Task Description:\n# The task is to determine the best action for a given poker hand, considering the player's personality and the current state of the game.\n# The player's personality is classified as 'tight' or 'aggressive', with 'tight' players preferring to minimize their expected loss and 'aggressive' players aiming to maximize their expected gain.\n# The game state includes the player's hole cards, the community board, and the current street (preflop, flop, turn, or river).\n# The objective is to provide a reasoning for the recommended action and the action itself.\n\n# Input Format:\n# The input will be a dictionary containing the following keys:\n# - 'personality': a string indicating the player's personality ('tight' or 'aggressive')\n# - 'hole_cards': a list of two strings representing the player's hole cards in the format '(rank,suit)'\n# - 'board': a list of strings representing the community board in the format '(rank,suit)'\n# - 'street': a string indicating the current street ('preflop', 'flop', 'turn', or 'river')\n\n# Task Requirements:\n# 1. The assistant should consider the player's personality when determining the best action.\n# 2. The assistant should analyze the player's hole cards and the community board to identify potential hand strengths and weaknesses.\n# 3. The assistant should take into account the current street to determine the optimal action.\n# 4. The assistant should provide a clear and concise reasoning for the recommended action.\n# 5. The assistant should return the recommended action as a string.\n\n# Domain-Specific Factual Information:\n# - In preflop, players typically check or call to see the flop.\n# - In the flop, players often check or bet to build the pot or protect their hand.\n# - In the turn and river, players typically check or bet to maximize their expected gain or minimize their expected loss.\n# - Aggressive players tend to bet or raise more frequently than tight players.\n# - Tight players tend to check or call more frequently than aggressive players.\n# - A 'tight' player should check preflop with weak hands like 4c 3s or (Qh, 7d) to minimize their expected loss.\n# - An 'aggressive' player should raise preflop with strong hands like (9s, Kh) to build the pot and put pressure on their opponent.\n# - A player should be cautious and not overcommit their chips, especially with weak hands and an empty board.\n# - A player should reassess their hand and the board after seeing the flop to determine the best course of action.\n\n# Generalizable Strategy:\n# The assistant can use a decision tree or a rule-based system to determine the best action based on the player's personality, hole cards, board, and street.\n# The assistant can also use machine learning algorithms to learn from a dataset of poker hands and improve its decision-making over time.\n\n# Example Inputs and Outputs:\n# Input:\n# {\n#     'personality': 'aggressive',\n#     'hole_cards': ['Kh', 'As'],\n#     'board': [],\n#     'street': 'preflop'\n# }\n# Output:\n# {\n#     'reasoning': 'As an aggressive player, I need to be proactive and take control of the pot. Since it's preflop and the board is empty, I should raise to build the pot and put pressure on my opponent.',\n#     'action': 'raise'\n# }\n```"
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
flop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task Instruction\n\n## Task Description\nThe task is to determine the best action for a given Poker Hand, considering the player's personality and the current state of the game.\n\n## Input Format\nThe input will consist of the following parameters:\n\n- `personality`: A string describing the player's personality, which can be one of the following:\n  - `tight`: The player is conservative and likes to play strong hands.\n  - `loose`: The player is aggressive and likes to play many hands.\n  - `fifteen_percent`: The player is a 15% player, which means they play 15% of the possible hands.\n  - Other personalities can be added in the future.\n\n- `hole_cards`: A tuple of two cards, representing the player's hole cards. Each card is represented as a string in the format `(rank,suit)`, where `rank` is the card's rank (e.g., `6`, `K`, `A`) and `suit` is the card's suit (e.g., `d`, `s`, `h`, `c`).\n\n- `board`: A tuple of five cards, representing the current state of the board. Each card is represented as a string in the format `(rank,suit)`, where `rank` is the card's rank (e.g., `6`, `K`, `A`) and `suit` is the card's suit (e.g., `d`, `s`, `h`, `c`).\n\n- `street`: A string describing the current street, which can be one of the following:\n  - `Pre-Flop`: The game has just started, and the first round of betting has not occurred yet.\n  - `Flop`: The first three community cards have been dealt.\n  - `Turn`: The fourth community card has been dealt.\n  - `River`: The final community card has been dealt.\n\n## Output Format\nThe output will consist of the following parameters:\n\n- `reasoning`: A string explaining the reasoning behind the recommended action.\n- `action`: A string describing the recommended action, which can be one of the following:\n  - `check`: The player should check, which means they should not place a bet.\n  - `bet`: The player should place a bet.\n  - `call`: The player should match the current bet.\n  - `raise`: The player should increase the current bet.\n  - `fold`: The player should give up their hand and forfeit their chance to win the pot.\n\n## Task Requirements\nThe task requires the assistant to consider the following factors when determining the best action:\n\n- The player's personality and how it affects their playing style.\n- The strength of the player's hole cards and how they relate to the current state of the board.\n- The current state of the board and how it affects the player's chances of winning.\n- The current street and how it affects the player's options and the player's opponents' options.\n\n## Domain-Specific Factual Information\nThe assistant should be aware of the following domain-specific facts:\n\n- In Poker, the goal is to win the pot by having the best hand or by being the last player remaining in the hand.\n- The strength of a hand is determined by the ranking of the cards, with the highest-ranking cards being the most valuable.\n- The player's personality affects their playing style, with tight players playing fewer hands and loose players playing more hands.\n- The current street affects the player's options and the player's opponents' options, with the Pre-Flop street offering the most options and the River street offering the fewest options.\n\n## Generalizable Strategy\nThe assistant can use the following generalizable strategy to solve the task:\n\n1. Analyze the player's personality and how it affects their playing style.\n2. Evaluate the strength of the player's hole cards and how they relate to the current state of the board.\n3. Consider the current state of the board and how it affects the player's chances of winning.\n4. Determine the current street and how it affects the player's options and the player's opponents' options.\n5. Based on the analysis, recommend the best action, taking into account the player's personality, the strength of their hole cards, the current state of the board, and the current street.\n\n## Example Inputs and Outputs\nThe following are examples of inputs and outputs for the task:\n\nInput:\n```python\npersonality = 'tight'\nhole_cards = ('6d', 'Qs')\nboard = ('5d', '9d', '4d', '4s', 'Th')\nstreet = 'River'\n```\n\nOutput:\n```python\nreasoning = 'Given the River street and the board (5d, 9d, 4d, 4s, Th), I have a weak top pair with a possible draw. My opponent has not shown any aggression so far, and I'm playing tight. Considering my tight personality, I'm looking to minimize my losses and play cautiously.'\naction = 'check'\n```\n\nInput:\n```python\npersonality = 'fifteen_percent'\nhole_cards = ('Ts', '6d')\nboard = ('Kh', 'Jh', 'Ac')\nstreet = 'Flop'\n```\n\nOutput:\n```python\nreasoning = 'I'm a tight player, so I like to be selective with my hands. With a relatively weak hand of Ts and 6d, and the flop showing Kh, Jh, Ac, I don't have a strong hand. The king and jack are likely to be paired, and the ace could be a possible draw for someone with a strong ace. Given the strength of the board, I should be cautious and not commit too much.'\naction = 'fold'\n```\n\nInput:\n```python\npersonality = 'loose'\nhole_cards = ('4h', 'Th')\nboard = ('Ks', '9d', '3h')\nstreet = 'Flop'\n```\n\nOutput:\n```python\nreasoning = 'Given the flop board (Ks, 9d, 3h) and my hole cards (4h, Th), I have a weak hand with no clear connections to the board. The top pair is the King, which is not in my hand, and the 9 is in my hand but it's not a strong enough hand to bet aggressively. I should be cautious and consider folding to protect my stack.'\naction = 'check'"
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
turn_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task Instruction\n\n## Task Description\nThe task is to determine the best action for a given poker hand based on the input hole cards and the community board. The assistant should consider the player's personality, the strength of their hand, the possible draws and board combinations, and the current street to make an informed decision.\n\n## Input Format\nThe input will be in the following format:\n- `personality`: A string representing the player's personality, e.g., `fifteen_percent`.\n- `hole_cards`: A tuple of two strings representing the player's hole cards, e.g., `(Kh, Kd)`.\n- `board`: A tuple of five strings representing the community board, e.g., `(Qh, 8h, 9s, Ac)`.\n- `street`: A string representing the current street, e.g., `Turn`.\n\n## Task Requirements\n1. The assistant should analyze the input hole cards and the community board to determine the strength of the player's hand.\n2. The assistant should consider the player's personality and adjust their strategy accordingly.\n3. The assistant should identify possible draws and board combinations that could improve or weaken the player's hand.\n4. The assistant should determine the best action based on the analysis, considering the current street and the player's hand strength.\n5. The assistant should provide a clear and concise reasoning for their decision.\n\n## Domain-Specific Factual Information\n- A pair of kings is a strong hand, but it can be vulnerable to ace-high flush draws.\n- A possible straight draw can be a strong hand, but it can also be vulnerable to flush draws.\n- A tight-aggressive player (15% aggression level) tends to be cautious and only play strong hands.\n- A player with a strong hand should consider raising to build the pot and protect their hand.\n- A player with a weak hand should consider folding to minimize losses.\n\n## Generalizable Strategies\n- Consider the player's personality and adjust their strategy accordingly.\n- Analyze the input hole cards and the community board to determine the strength of the player's hand.\n- Identify possible draws and board combinations that could improve or weaken the player's hand.\n- Determine the best action based on the analysis, considering the current street and the player's hand strength.\n\n## Evaluation Criteria\nThe assistant's response will be evaluated based on the following criteria:\n- Accuracy: Is the assistant's action correct based on the input hand and board?\n- Reasoning: Is the assistant's reasoning clear and concise, and does it justify their action?\n- Adaptability: Does the assistant adjust their strategy based on the player's personality?\n- Domain knowledge: Does the assistant demonstrate a good understanding of poker concepts and strategies?"
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
river_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='python\n# Task Instruction\n\n## Task Description\nThe task is to determine the best action for a given Poker Hand. The inputs will include the player\'s personality type, their hole cards, the current state of the board, and the current street.\n\n## Input Format\nThe input will be a dictionary with the following keys:\n- `personality`: a string representing the player\'s personality type (e.g., "tight", "aggressive", etc.)\n- `hole_cards`: a tuple of two strings representing the player\'s hole cards (e.g., ("Ah", "Kh"))\n- `board`: a tuple of five strings representing the current state of the board (e.g., ("Qc", "Kh", "Kd", "Qd", "8s"))\n- `street`: a string representing the current street (e.g., "Preflop", "Flop", "Turn", "River")\n\n## Task Requirements\nThe task requires the assistant to analyze the player\'s personality type, their hole cards, and the current state of the board to determine the best action. The assistant should consider the following factors:\n- The strength of the player\'s hand\n- The potential for improvement on the next street\n- The player\'s personality type and how it influences their playing style\n- The community cards on the board and how they relate to the player\'s hole cards\n\n## Domain-Specific Factual Information\n- In Poker, the goal is to win the pot by having the best hand or by being the last player remaining in the hand.\n- The player\'s personality type can influence their playing style, with tight players folding more often and aggressive players betting more frequently.\n- The strength of the player\'s hand is determined by the ranking of their hole cards and the community cards on the board.\n- The potential for improvement on the next street is an important consideration, as it can affect the player\'s decision to check, bet, or fold.\n\n## Generalizable Strategy\nThe assistant should use a generalizable strategy that can be applied to a wide range of situations. This may involve using decision trees or other algorithms to evaluate the player\'s hand and the current state of the board.\n\n## Evaluation Criteria\nThe assistant\'s response will be evaluated based on the following criteria:\n- Accuracy: Is the assistant\'s action the correct one for the given hand and board?\n- Reasoning: Does the assistant\'s reasoning for their action make sense and take into account the relevant factors?\n- Generalizability: Can the assistant\'s strategy be applied to a wide range of situations, or is it overly specialized?'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
)), preflop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task Instruction\n\n## Task Description\nThe task is to determine the best action in a given Poker Hand scenario. The inputs will include the player's personality, hole cards, the current board state, and the current street. The assistant should provide a reasoning for the chosen action and the action itself.\n\n## Input Format\nThe input will be in the following format:\n- personality: A string representing the player's personality (e.g., 'tight', 'aggressive', etc.)\n- hole_cards: A tuple of two cards representing the player's hole cards (e.g., ('5s', 'Jc'))\n- board: A tuple of five cards representing the current board state (e.g., ('9s', '7d', 'Ad', '5h', ''))\n- street: A string representing the current street (e.g., 'Turn', 'River', 'Preflop')\n\n## Task Requirements\n1. The assistant should consider the player's personality when making the decision.\n2. The assistant should analyze the hole cards and the board state to determine the best action.\n3. The assistant should provide a clear and concise reasoning for the chosen action.\n4. The assistant should choose the correct action based on the given scenario.\n\n## Domain-Specific Factual Information\n- In Poker, a 'tight' player is someone who plays fewer hands and is more selective.\n- A 'pair' is a hand with two cards of the same rank.\n- A 'flush' is a hand with five cards of the same suit.\n- A 'straight' is a hand with five cards of sequential rank.\n- The 'Preflop' street is the first street in a Poker hand, where players can choose to call, raise, or fold.\n- The 'Turn' street is the fourth street in a Poker hand, where players can choose to check, bet, or fold.\n- The 'River' street is the fifth and final street in a Poker hand, where players can choose to check, bet, or fold.\n\n## Generalizable Strategy\nThe assistant should use a decision-making strategy that considers the player's personality, the strength of the hole cards, and the board state. The assistant should also consider the potential draws and the opponent's possible actions.\n\n## Evaluation Criteria\nThe assistant's response will be evaluated based on the following criteria:\n- Correctness: Is the chosen action correct based on the given scenario?\n- Reasoning: Is the provided reasoning clear and concise?\n- Personality consideration: Does the assistant consider the player's personality when making the decision?\n- Domain knowledge: Does the assistant demonstrate a good understanding of Poker concepts and terminology?"
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
flop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
turn_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
